LOAD_OCT, INTLE
AND, INTG
IMUL, INTGM
SHL_IMM, INTLE
SEXT_DWORD_TO_QWORD, INTG
SUB, INTGA
SUB_IMM, INTGA
FP_ADD_DOUBLE, FPGA
ADD, INTGA
ADD_OCT, INTGA
AND_IMM, INTGA
OR_IMM, INTG
CVT_SD_2_SS, FPG
XOR, INTG
FP_DIV_DOUBLE, FPGD
LEA, INTLE
CVT_SIQ_2_SD, FPG
ADD_IMM, INTGA
CVTT_SD_2_SIQ, FPG
CVT_SS_2_SD, FPG
SHL, INTLE
UCOMIS_FLOAT, FPG
SHUFFLE_BW, INTG
BSF, INTG
JMP_IMM, INTG
SEXT_BYTE_TO_DWORD, INTG
IMUL_T_IMM, INTGM
CVT_SI_2_SD, FPG
SAVE_PC, INTLE
SHR_IMM, INTG
XMM_MERGE, INTG
CVTT_SD_2_SI, FPG
FP_SUB_DOUBLE, FPGA
FP_DIV_FLOAT, FPGD
SHUFFLE, INTG
ZEXT_BYTE_TO_DWORD, INTG
FP_MAX_FLOAT, FPG
CVT_SI_2_SS, FPG
READ_CR, INTG
PCMP_EQ, INTG
FP_MUL_DOUBLE, FPGM
LOAD, INTL
OR, INTG
SAR_IMM, INTLE
STORE, INTL
FP_ADD_FLOAT, FPGA
PMOVMSKB, INTG
SEXT_BYTE_TO_QWORD, INTG
CVT_SS_2_SI, FPG
UPPER_HALF, INTG
JMP_REG, INTG
NOP, -
UCOMIS_DOUBLE, FPG
